Part Number,Brand,Whi Brand,Category,Out of Stock,Options,Quantity,Price,Current Date,Current time,LC,Other Columns,Average
D1S,ÜRO PARTS,N/A,Headlamp Bulb,No,,1,$30.79,08/28/2024,08:48:18 PM,,No Never:-  1,1.5
D1S,HELLA,N/A,Headlamp Bulb,No,,1,$38.79,08/28/2024,08:48:18 PM,,No Never:-  1,1.5
D1S,PHILIPS,N/A,Headlamp Bulb,No,,1,$61.79,08/28/2024,08:48:18 PM,,No Never:-  1,1.5
D1S,WAGNER,N/A,Headlamp Bulb,No,,1,$61.79,08/28/2024,08:48:18 PM,,No Never:-  1,1.5
D1S,HELLA,N/A,Headlamp Bulb,No,,1,$67.79,08/28/2024,08:48:18 PM,,No Never:-  1,1.5
D1S,HELLA,N/A,Headlamp Bulb,No,,1,$83.79,08/28/2024,08:48:18 PM,,No Never:-  1,1.5
1402770095,RAYBESTOS POWERTRAIN,N/A,Filter,No,,1,$4.24,08/28/2024,08:48:22 PM,,No Never:-  2,2.5
1402770095,VAICO,N/A,Filter,No,,1,$6.86,08/28/2024,08:48:22 PM,,No Never:-  2,2.5
1402770095,ÜRO PARTS,N/A,Filter,No,,1,$7.45,08/28/2024,08:48:22 PM,,No Never:-  2,2.5
1402770095,ELRING,N/A,Filter,No,,1,$8.79,08/28/2024,08:48:22 PM,,No Never:-  2,2.5
1402770095,BECK/ARNLEY,N/A,Filter,No,,1,$8.91,08/28/2024,08:48:22 PM,,No Never:-  2,2.5
1402770095,HENGST,N/A,Filter,No,,1,$12.01,08/28/2024,08:48:22 PM,,No Never:-  2,2.5
1402770095,VARIOUS MFR,N/A,Filter,No,,1,$13.52,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VAICO,N/A,Filter,No,,1,$16.12,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,HASTINGS / BALDWIN,N/A,Filter,No,,1,$22.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,REIN,N/A,Filter,No,,1,$22.99,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,MAHLE / CLEVITE,N/A,Filter,No,,1,$24.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,WIX,N/A,Filter,No,,1,$24.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,BECK/ARNLEY,N/A,Filter,No,,1,$26.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VAICO,N/A,Filter,No,,1,$47.89,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VAICO,N/A,Transmission Service Kit,No,,1,$74.99,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VAICO,N/A,Filter,No,,1,$112.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VEMO,N/A,Conductor Plate,No,,1,$122.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VEMO,N/A,Conductor Plate,No,,1,$178.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VEMO,N/A,Conductor Plate,No,,1,$216.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,BECK/ARNLEY,N/A,Filter,No,,1,$237.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VAICO,N/A,Transmission Service Kit,No,,1,$241.79,08/28/2024,08:48:23 PM,,No Never:-  2,2.5
1402770095,VEMO,N/A,Conductor Plate,No,,1,$342.79,08/28/2024,08:48:24 PM,,No Never:-  2,2.5
1402770095,VAICO,N/A,Transmission Service Kit,No,,1,$194.79,08/28/2024,08:48:24 PM,,No Never:-  2,2.5
1402700812,DORMAN,N/A,Fluid Pan,No,,1,$45.79,08/28/2024,08:48:28 PM,,No Never:-  3,3.5
1402700812,REIN,N/A,Fluid Pan,No,,1,$45.79,08/28/2024,08:48:28 PM,,No Never:-  3,3.5
1402700812,ÜRO PARTS,N/A,Fluid Pan,No,,1,$57.89,08/28/2024,08:48:28 PM,,No Never:-  3,3.5
1402700812,VAICO,N/A,Fluid Pan,No,,1,$64.79,08/28/2024,08:48:28 PM,,No Never:-  3,3.5
1402700812,SPECTRA PREMIUM,N/A,Fluid Pan,Yes,,,Out of Stock,08/28/2024,08:48:29 PM,,No Never:-  3,3.5
2035400253,DORMAN,N/A,Plug Adapter,No,,1,$5.32,08/28/2024,08:48:33 PM,,No Never:-  4,4.5
2035400253,STANDARD MOTOR PRODUCTS,N/A,Plug Adapter,No,,1,$6.16,08/28/2024,08:48:33 PM,,No Never:-  4,4.5
2035400253,BECK/ARNLEY,N/A,Plug Adapter,No,"['[Wholesaler Closeout -- 30 Day Warranty] (Only 1 Remaining) ($8.51) ^', '[Regular Inventory] ($15.55) ^']",1,$8.51,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,BECK/ARNLEY,N/A,Filter,No,,1,$26.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VAICO,N/A,Filter,No,,1,$47.89,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VAICO,N/A,Transmission Service Kit,No,,1,$74.99,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VAICO,N/A,Filter,No,,1,$112.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,ULTRA-POWER,N/A,Conductor Plate,No,,1,$116.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,HOLSTEIN,N/A,Speed Sensor,No,,1,$125.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,DORMAN,N/A,Conductor Plate,No,,1,$155.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VEMO,N/A,Conductor Plate,No,,1,$178.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VEMO,N/A,Conductor Plate,No,,1,$216.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,BECK/ARNLEY,N/A,Filter,No,,1,$237.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VAICO,N/A,Transmission Service Kit,No,,1,$241.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VEMO,N/A,Conductor Plate,No,,1,$342.79,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VAICO,N/A,Plug Adapter,No,,1,$7.50,08/28/2024,08:48:34 PM,,No Never:-  4,4.5
2035400253,VAICO,N/A,Transmission Service Kit,No,,1,$194.79,08/28/2024,08:48:35 PM,,No Never:-  4,4.5
2035400253,VEMO,N/A,Rebuild Kit,No,,1,$251.79,08/28/2024,08:48:35 PM,,No Never:-  4,4.5
31368311,MOTORAD,N/A,Coolant Reservoir Cap,No,"['[Wholesaler Closeout -- 30 Day Warranty] (Only 1 Remaining) ($3.33) ^', '[Regular Inventory] ($5.19) ^']",1,$3.33,08/28/2024,08:48:39 PM,,No Never:-  5,5.5
31368311,ÜRO PARTS,N/A,Coolant Reservoir Cap,No,,1,$3.56,08/28/2024,08:48:40 PM,,No Never:-  5,5.5
31368311,CALORSTAT,N/A,Coolant Reservoir Cap,No,,1,$4.05,08/28/2024,08:48:40 PM,,No Never:-  5,5.5
31368311,VAICO,N/A,Coolant Reservoir Cap,No,,1,$4.38,08/28/2024,08:48:40 PM,,No Never:-  5,5.5
31368311,PROFESSIONAL PARTS SWEDEN,N/A,Coolant Reservoir Cap,No,,1,$4.63,08/28/2024,08:48:40 PM,,No Never:-  5,5.5
31368311,GATES,N/A,Coolant Reservoir Cap,No,,1,$8.34,08/28/2024,08:48:40 PM,,No Never:-  5,5.5
31368311,DORMAN,N/A,Coolant Reservoir,No,,1,$32.79,08/28/2024,08:48:40 PM,,No Never:-  5,5.5
D2S,HELLA,N/A,Headlamp Bulb,No,,1,$23.79,08/28/2024,08:48:45 PM,,No Never:-  6,6.5
D2S,ÜRO PARTS,N/A,Headlamp Bulb,No,,1,$23.79,08/28/2024,08:48:45 PM,,No Never:-  6,6.5
D2S,WAGNER,N/A,Headlamp Bulb,No,,1,$35.79,08/28/2024,08:48:45 PM,,No Never:-  6,6.5
D2S,PHILIPS,N/A,Headlamp Bulb,No,,1,$39.79,08/28/2024,08:48:45 PM,,No Never:-  6,6.5
D2S,HELLA,N/A,Headlamp Bulb,No,,1,$59.79,08/28/2024,08:48:45 PM,,No Never:-  6,6.5
06F105243J,ÜRO PARTS,N/A,Harmonic Balancer,No,,1,$57.99,08/28/2024,08:48:49 PM,,No Never:-  7,
06F105243J,VAICO,N/A,Harmonic Balancer,No,,1,$89.79,08/28/2024,08:48:49 PM,,No Never:-  7,
06F105243J,DORMAN,N/A,Harmonic Balancer,Yes,,,Out of Stock,08/28/2024,08:48:49 PM,,No Never:-  7,
WHT005184,ÜRO PARTS,N/A,Fuel Pump Gasket / Seal,No,,1,$2.12,08/28/2024,08:48:53 PM,,No Never:-  8,
WHT005184,MAHLE / CLEVITE,N/A,Fuel Pump Gasket / Seal,No,,1,$3.51,08/28/2024,08:48:53 PM,,No Never:-  8,
WHT005184,ELRING,N/A,Fuel Pump Gasket / Seal,No,,1,$3.68,08/28/2024,08:48:53 PM,,No Never:-  8,
WHT005184,VICTOR REINZ,N/A,Fuel Pump Gasket / Seal,No,,1,$4.25,08/28/2024,08:48:53 PM,,No Never:-  8,
WHT005184,STANDARD MOTOR PRODUCTS,N/A,Fuel Pump Gasket / Seal,No,,1,$9.92,08/28/2024,08:48:54 PM,,No Never:-  8,
